기준연도,시군구명,남성인구수,여성인구수,외국인남성인구수,외국인여성인구수,세대수
2021,천안시 동남구,129399,125893,8176,6968,116963
2021,천안시 서북구,207213,195981,10261,9022,181024
2021,공주시,51459,51686,1876,2295,51580
2021,보령시,49933,48475,3308,1649,49419
2021,아산시,168881,155699,18194,13513,145869
2021,서산시,92122,84523,4124,3879,81407
2021,논산시,57147,57336,3471,3890,58048
2021,계룡시,21563,21768,218,288,17152
2021,당진시,88952,78140,6094,4230,79526
2021,금산군,25466,25011,1768,2167,25893
2021,부여군,31634,32140,1164,1396,33257
2021,서천군,25081,25664,1483,811,26646
2021,청양군,15472,14968,598,767,16426
2021,홍성군,49437,49887,2669,1925,46746
2021,예산군,38574,38227,2434,1690,39051
2021,태안군,31033,30493,1559,939,32908
